No.,Time,Source,Destination,Protocol,Length,Info,TTL,Flags,DSCP,LEN
42,1.614033925,159.124.21.96,192.168.1.93,DTLSv1.2,1094,Certificate (Fragment),44,0x2,0x00,1080
43,1.61704053,159.124.21.96,192.168.1.93,DTLSv1.2,1094,"Certificate (Reassembled), Server Key Exchange (Fragment)",44,0x2,0x00,1080
44,1.617040793,159.124.21.96,192.168.1.93,DTLSv1.2,492,"Server Key Exchange (Reassembled), Certificate Request, Server Hello Done",44,0x2,0x00,478
45,1.623399872,192.168.1.93,159.124.21.96,DTLSv1.2,659,"Certificate, Client Key Exchange, Certificate Verify, Change Cipher Spec, Encrypted Handshake Message",64,0x2,0x00,645
46,1.653749255,159.124.21.96,192.168.1.93,STUN,106,Binding Success Response XOR-MAPPED-ADDRESS: 5.29.51.201:8466,44,0x2,0x00,92
47,1.655296626,192.168.1.93,159.124.21.96,STUN,198,Binding Request user: 6F4AA7FD-78DF-FCC4-F05B-958B6A09AE9D:4541BB66-D689-8DE7-07EF-2C88144219B5,64,0x2,0x00,184
48,1.671657616,192.168.1.93,159.124.21.96,DTLSv1.2,231,Client Hello,64,0x2,0x00,217
49,1.67349966,159.124.21.96,192.168.1.93,DTLSv1.2,156,Server Hello,44,0x2,0x00,142
50,1.673499915,159.124.21.96,192.168.1.93,DTLSv1.2,1094,Certificate (Fragment),44,0x2,0x00,1080
51,1.67349995,159.124.21.96,192.168.1.93,DTLSv1.2,1094,Certificate (Fragment),44,0x2,0x00,1080
52,1.673499972,159.124.21.96,192.168.1.93,DTLSv1.2,1094,Certificate (Fragment),44,0x2,0x00,1080
53,1.673499993,159.124.21.96,192.168.1.93,DTLSv1.2,953,Certificate (Reassembled),44,0x2,0x00,939
54,1.673500013,159.124.21.96,192.168.1.93,DTLSv1.2,396,Server Key Exchange,44,0x2,0x00,382
55,1.673500033,159.124.21.96,192.168.1.93,DTLSv1.2,115,Certificate Request,44,0x2,0x00,101
56,1.673500054,159.124.21.96,192.168.1.93,DTLSv1.2,67,Server Hello Done,44,0x2,0x00,53
57,1.678264658,192.168.1.93,159.124.21.96,DTLSv1.2,659,"Certificate, Client Key Exchange, Certificate Verify, Change Cipher Spec, Encrypted Handshake Message",64,0x2,0x00,645
58,1.701800244,159.124.21.96,192.168.1.93,DTLSv1.2,109,"Change Cipher Spec, Encrypted Handshake Message",44,0x2,0x00,95
59,1.710025153,192.168.1.93,159.124.21.96,DTLSv1.2,115,Application Data,64,0x2,0x00,101
60,1.729014384,192.168.1.93,159.124.21.96,DTLSv1.2,231,Client Hello,64,0x2,0x00,217
61,1.730653729,159.124.21.96,192.168.1.93,STUN,106,Binding Success Response XOR-MAPPED-ADDRESS: 5.29.51.201:8466,44,0x2,0x00,92
62,1.752385409,159.124.21.96,192.168.1.93,DTLSv1.2,1094,"Server Hello, Certificate (Fragment)",44,0x2,0x00,1080
63,1.752385777,159.124.21.96,192.168.1.93,DTLSv1.2,1094,Certificate (Fragment),44,0x2,0x00,1080
64,1.752385845,159.124.21.96,192.168.1.93,DTLSv1.2,1094,Certificate (Fragment),44,0x2,0x00,1080
65,1.752385863,159.124.21.96,192.168.1.93,DTLSv1.2,1094,"Certificate (Reassembled), Server Key Exchange (Fragment)",44,0x2,0x00,1080
66,1.752385884,159.124.21.96,192.168.1.93,DTLSv1.2,492,"Server Key Exchange (Reassembled), Certificate Request, Server Hello Done",44,0x2,0x00,478
67,1.75238594,159.124.21.96,192.168.1.93,DTLSv1.2,60,Change Cipher Spec,44,0x2,0x00,42
68,1.75238596,159.124.21.96,192.168.1.93,DTLSv1.2,95,Encrypted Handshake Message,44,0x2,0x00,81
69,1.77137968,192.168.1.93,159.124.21.96,DTLSv1.2,659,"Certificate, Client Key Exchange, Certificate Verify, Change Cipher Spec, Encrypted Handshake Message",64,0x2,0x00,645
70,1.778383746,159.124.21.96,192.168.1.93,DTLSv1.2,115,Application Data,44,0x2,0x00,101
71,1.780895327,192.168.1.93,159.124.21.96,DTLSv1.2,91,Application Data,64,0x2,0x00,77
72,1.802665082,159.124.21.96,192.168.1.93,DTLSv1.2,156,Server Hello,44,0x2,0x00,142
73,1.802665374,159.124.21.96,192.168.1.93,DTLSv1.2,1094,Certificate (Fragment),44,0x2,0x00,1080
74,1.802665403,159.124.21.96,192.168.1.93,DTLSv1.2,1094,Certificate (Fragment),44,0x2,0x00,1080
75,1.802665424,159.124.21.96,192.168.1.93,DTLSv1.2,1094,Certificate (Fragment),44,0x2,0x00,1080
76,1.802665445,159.124.21.96,192.168.1.93,DTLSv1.2,953,Certificate (Reassembled),44,0x2,0x00,939
77,1.802665465,159.124.21.96,192.168.1.93,DTLSv1.2,396,Server Key Exchange,44,0x2,0x00,382
78,1.802665489,159.124.21.96,192.168.1.93,DTLSv1.2,115,Certificate Request,44,0x2,0x00,101
79,1.802665509,159.124.21.96,192.168.1.93,DTLSv1.2,67,Server Hello Done,44,0x2,0x00,53
80,1.805600955,192.168.1.93,159.124.21.96,DTLSv1.2,659,"Certificate, Client Key Exchange, Certificate Verify, Change Cipher Spec, Encrypted Handshake Message",64,0x2,0x00,645
81,1.849034782,159.124.21.96,192.168.1.93,DTLSv1.2,109,"Change Cipher Spec, Encrypted Handshake Message",44,0x2,0x00,95
82,1.850135554,159.124.21.96,192.168.1.93,DTLSv1.2,87,Application Data,44,0x2,0x00,73
