No.,Time,Source,Destination,Protocol,Length,Info,TTL,Flags,DSCP,LEN
598,15.57020297,192.168.1.94,142.250.75.110,TLSv1.3,253,Application Data,64,0x2,0x00,239
599,15.58092064,142.250.75.110,192.168.1.94,TCP,66,443  >  33916 [ACK] Seq=6584 Ack=582 Win=268800 Len=0 TSval=2607504418 TSecr=1158795680,121,0x0,0x00,52
600,15.5809207,142.250.75.110,192.168.1.94,TLSv1.3,680,"Application Data, Application Data",121,0x0,0x00,666
601,15.58092072,142.250.75.110,192.168.1.94,TLSv1.3,97,Application Data,121,0x0,0x00,83
602,15.58710469,192.168.1.94,142.250.75.110,TCP,66,33916  >  443 [ACK] Seq=769 Ack=7229 Win=80128 Len=0 TSval=1158795700 TSecr=2607504418,64,0x2,0x00,52
603,15.58935501,192.168.1.94,142.250.75.110,TLSv1.3,90,Application Data,64,0x2,0x00,76
604,15.59313633,192.168.1.94,142.250.75.110,TCP,66,"33916  >  443 [FIN, ACK] Seq=793 Ack=7229 Win=80128 Len=0 TSval=1158795706 TSecr=2607504418",64,0x2,0x00,52
605,15.59767723,142.250.75.110,192.168.1.94,TCP,66,"443  >  33916 [FIN, ACK] Seq=7229 Ack=793 Win=268800 Len=0 TSval=2607504440 TSecr=1158795702",121,0x0,0x00,52
606,15.59770497,192.168.1.94,142.250.75.110,TCP,66,33916  >  443 [ACK] Seq=794 Ack=7230 Win=80128 Len=0 TSval=1158795710 TSecr=2607504440,64,0x2,0x00,52
607,15.60138314,142.250.75.110,192.168.1.94,TCP,66,443  >  33916 [ACK] Seq=7230 Ack=794 Win=268800 Len=0 TSval=2607504444 TSecr=1158795706,121,0x0,0x00,52
608,16.37592981,192.168.1.94,142.250.75.110,TLSv1.3,2866,,64,0x2,0x00,2852
609,16.37620429,192.168.1.94,142.250.75.110,TLSv1.3,1490,Continuation Data,64,0x2,0x00,1476
610,16.39299979,142.250.75.110,192.168.1.94,TCP,66,443  >  60366 [ACK] Seq=326392 Ack=102679 Win=208384 Len=0 TSval=2478408151 TSecr=1158796489,121,0x0,0x00,52
611,16.39300024,142.250.75.110,192.168.1.94,TCP,66,443  >  60366 [ACK] Seq=326392 Ack=104079 Win=208384 Len=0 TSval=2478408151 TSecr=1158796489,121,0x0,0x00,52
612,16.39300026,142.250.75.110,192.168.1.94,TCP,78,[TCP Dup ACK 611#1] 443  >  60366 [ACK] Seq=326392 Ack=104079 Win=209408 Len=0 TSval=2478408151 TSecr=1158796489 SLE=105479 SRE=105503,121,0x0,0x00,64
613,16.39300028,142.250.75.110,192.168.1.94,TCP,66,443  >  60366 [ACK] Seq=326392 Ack=105503 Win=208128 Len=0 TSval=2478408151 TSecr=1158796489,121,0x0,0x00,52
614,16.41332677,192.168.1.94,142.250.75.110,TLSv1.3,1197,Application Data,64,0x2,0x00,1183
615,16.42195742,192.168.1.94,142.250.75.110,TLSv1.3,1141,Application Data,64,0x2,0x00,1127
616,16.42241378,192.168.1.94,142.250.75.110,TLSv1.3,323,Application Data,64,0x2,0x00,309
617,16.42659615,192.168.1.94,142.250.75.110,TLSv1.3,2562,Application Data,64,0x2,0x00,2548
618,16.44548121,142.250.75.110,192.168.1.94,TCP,66,443  >  60366 [ACK] Seq=326392 Ack=106634 Win=208384 Len=0 TSval=2478408212 TSecr=1158796526,121,0x0,0x00,52
619,16.44548184,142.250.75.110,192.168.1.94,TCP,66,443  >  60366 [ACK] Seq=326392 Ack=107709 Win=207360 Len=0 TSval=2478408212 TSecr=1158796535,121,0x0,0x00,52
620,16.44548186,142.250.75.110,192.168.1.94,TCP,66,443  >  60366 [ACK] Seq=326392 Ack=107966 Win=208384 Len=0 TSval=2478408212 TSecr=1158796535,121,0x0,0x00,52
621,16.44548188,142.250.75.110,192.168.1.94,TCP,78,[TCP Dup ACK 620#1] 443  >  60366 [ACK] Seq=326392 Ack=107966 Win=208384 Len=0 TSval=2478408212 TSecr=1158796535 SLE=109366 SRE=110462,121,0x0,0x00,64
622,16.4454819,142.250.75.110,192.168.1.94,TCP,66,443  >  60366 [ACK] Seq=326392 Ack=110462 Win=206336 Len=0 TSval=2478408212 TSecr=1158796539,121,0x0,0x00,52
623,16.47515198,142.250.75.110,192.168.1.94,TLSv1.3,588,Application Data,121,0x0,0x00,574
624,16.47515251,142.250.75.110,192.168.1.94,TLSv1.3,139,Application Data,121,0x0,0x00,125
625,16.47515253,142.250.75.110,192.168.1.94,TLSv1.3,97,Application Data,121,0x0,0x00,83
626,16.47714014,142.250.75.110,192.168.1.94,TLSv1.3,105,Application Data,121,0x0,0x00,91
627,16.47733104,192.168.1.94,142.250.75.110,TCP,66,60366  >  443 [ACK] Seq=110462 Ack=327057 Win=431872 Len=0 TSval=1158796590 TSecr=2478408239,64,0x2,0x00,52
628,16.47745576,192.168.1.94,142.250.75.110,TLSv1.3,105,Application Data,64,0x2,0x00,91
629,16.48951782,142.250.75.110,192.168.1.94,TCP,66,443  >  60366 [ACK] Seq=327057 Ack=110501 Win=209664 Len=0 TSval=2478408255 TSecr=1158796590,121,0x0,0x00,52
630,16.51231032,142.250.75.110,192.168.1.94,TLSv1.3,138,Application Data,121,0x0,0x00,124
631,16.51231056,142.250.75.110,192.168.1.94,TLSv1.3,97,Application Data,121,0x0,0x00,83
632,16.51231058,142.250.75.110,192.168.1.94,TLSv1.3,105,Application Data,121,0x0,0x00,91
633,16.5123106,142.250.75.110,192.168.1.94,TLSv1.3,138,Application Data,121,0x0,0x00,124
634,16.51231065,142.250.75.110,192.168.1.94,TLSv1.3,97,Application Data,121,0x0,0x00,83
635,16.51308794,192.168.1.94,142.250.75.110,TLSv1.3,105,Application Data,64,0x2,0x00,91
636,16.51433425,142.250.75.110,192.168.1.94,TLSv1.3,140,Application Data,121,0x0,0x00,126
637,16.51433441,142.250.75.110,192.168.1.94,TLSv1.3,97,Application Data,121,0x0,0x00,83
638,16.51453137,192.168.1.94,142.250.75.110,TCP,66,60366  >  443 [ACK] Seq=110540 Ack=327407 Win=431872 Len=0 TSval=1158796627 TSecr=2478408279,64,0x2,0x00,52
639,16.52657564,142.250.75.110,192.168.1.94,TCP,66,443  >  60366 [ACK] Seq=327407 Ack=110540 Win=209664 Len=0 TSval=2478408291 TSecr=1158796626,121,0x0,0x00,52
640,17.03647746,192.168.1.94,142.250.75.110,TLSv1.3,1204,Application Data,64,0x2,0x00,1190
641,17.0394513,192.168.1.94,142.250.75.110,TLSv1.3,323,Application Data,64,0x2,0x00,309
642,17.04459302,142.250.75.110,192.168.1.94,TCP,66,443  >  60366 [ACK] Seq=327407 Ack=111678 Win=208640 Len=0 TSval=2478408811 TSecr=1158797149,121,0x0,0x00,52
643,17.048288,142.250.75.110,192.168.1.94,TCP,66,443  >  60366 [ACK] Seq=327407 Ack=111935 Win=208384 Len=0 TSval=2478408814 TSecr=1158797152,121,0x0,0x00,52
644,17.11505061,142.250.75.110,192.168.1.94,TLSv1.3,140,Application Data,121,0x0,0x00,126
645,17.11505103,142.250.75.110,192.168.1.94,TLSv1.3,97,Application Data,121,0x0,0x00,83
646,17.11505106,142.250.75.110,192.168.1.94,TLSv1.3,105,Application Data,121,0x0,0x00,91
647,17.1182749,192.168.1.94,142.250.75.110,TCP,66,60366  >  443 [ACK] Seq=111935 Ack=327551 Win=431872 Len=0 TSval=1158797231 TSecr=2478408877,64,0x2,0x00,52
648,17.1187995,192.168.1.94,142.250.75.110,TLSv1.3,105,Application Data,64,0x2,0x00,91
649,17.12608109,142.250.75.110,192.168.1.94,TCP,66,443  >  60366 [ACK] Seq=327551 Ack=111974 Win=209664 Len=0 TSval=2478408892 TSecr=1158797231,121,0x0,0x00,52
650,17.8725363,192.168.1.94,142.250.75.110,TLSv1.3,2866,,64,0x2,0x00,2852
651,17.87304417,192.168.1.94,142.250.75.110,TLSv1.3,181,Continuation Data,64,0x2,0x00,167
652,17.89227632,142.250.75.110,192.168.1.94,TCP,66,443  >  60366 [ACK] Seq=327551 Ack=113374 Win=208384 Len=0 TSval=2478409646 TSecr=1158797985,121,0x0,0x00,52
653,17.89227657,142.250.75.110,192.168.1.94,TCP,66,443  >  60366 [ACK] Seq=327551 Ack=114774 Win=208384 Len=0 TSval=2478409654 TSecr=1158797985,121,0x0,0x00,52
654,17.8922767,142.250.75.110,192.168.1.94,TCP,66,443  >  60366 [ACK] Seq=327551 Ack=114889 Win=208384 Len=0 TSval=2478409654 TSecr=1158797985,121,0x0,0x00,52
655,17.90082047,192.168.1.94,142.250.75.110,TLSv1.3,609,Application Data,64,0x2,0x00,595
656,17.90180785,192.168.1.94,142.250.75.110,TLSv1.3,406,Application Data,64,0x2,0x00,392
657,17.90889167,142.250.75.110,192.168.1.94,TCP,66,443  >  60366 [ACK] Seq=327551 Ack=115432 Win=208384 Len=0 TSval=2478409675 TSecr=1158798013,121,0x0,0x00,52
658,17.90889201,142.250.75.110,192.168.1.94,TCP,66,443  >  60366 [ACK] Seq=327551 Ack=115772 Win=208384 Len=0 TSval=2478409675 TSecr=1158798014,121,0x0,0x00,52
659,17.95802109,142.250.75.110,192.168.1.94,TLSv1.3,138,Application Data,121,0x0,0x00,124
660,17.95802127,142.250.75.110,192.168.1.94,TLSv1.3,97,Application Data,121,0x0,0x00,83
661,17.95844494,142.250.75.110,192.168.1.94,TLSv1.3,105,Application Data,121,0x0,0x00,91
662,17.96488886,192.168.1.94,142.250.75.110,TCP,66,60366  >  443 [ACK] Seq=115772 Ack=327693 Win=431872 Len=0 TSval=1158798077 TSecr=2478409722,64,0x2,0x00,52
663,17.965052,192.168.1.94,142.250.75.110,TLSv1.3,105,Application Data,64,0x2,0x00,91
664,17.9730113,142.250.75.110,192.168.1.94,TLSv1.3,138,Application Data,121,0x0,0x00,124
665,17.97301163,142.250.75.110,192.168.1.94,TCP,66,443  >  60366 [ACK] Seq=327765 Ack=115811 Win=209664 Len=0 TSval=2478409738 TSecr=1158798078,121,0x0,0x00,52
666,17.97301167,142.250.75.110,192.168.1.94,TLSv1.3,97,Application Data,121,0x0,0x00,83
667,17.97301169,142.250.75.110,192.168.1.94,TLSv1.3,105,Application Data,121,0x0,0x00,91
668,17.97333296,192.168.1.94,142.250.75.110,TCP,66,60366  >  443 [ACK] Seq=115811 Ack=327835 Win=431872 Len=0 TSval=1158798086 TSecr=2478409738,64,0x2,0x00,52
669,17.97347027,192.168.1.94,142.250.75.110,TLSv1.3,105,Application Data,64,0x2,0x00,91
670,17.98581536,142.250.75.110,192.168.1.94,TCP,66,443  >  60366 [ACK] Seq=327835 Ack=115850 Win=209664 Len=0 TSval=2478409752 TSecr=1158798086,121,0x0,0x00,52
671,17.99943169,142.250.75.110,192.168.1.94,TLSv1.3,749,Application Data,121,0x0,0x00,735
672,18.00130196,142.250.75.110,192.168.1.94,TLSv1.3,139,Application Data,121,0x0,0x00,125
673,18.00130213,142.250.75.110,192.168.1.94,TLSv1.3,97,Application Data,121,0x0,0x00,83
674,18.00130216,142.250.75.110,192.168.1.94,TLSv1.3,105,Application Data,121,0x0,0x00,91
675,18.00158373,192.168.1.94,142.250.75.110,TCP,66,60366  >  443 [ACK] Seq=115850 Ack=328661 Win=431872 Len=0 TSval=1158798114 TSecr=2478409766,64,0x2,0x00,52
676,18.00171742,192.168.1.94,142.250.75.110,TLSv1.3,105,Application Data,64,0x2,0x00,91
677,18.01503862,142.250.75.110,192.168.1.94,TCP,66,443  >  60366 [ACK] Seq=328661 Ack=115889 Win=209664 Len=0 TSval=2478409779 TSecr=1158798114,121,0x0,0x00,52
678,18.95630009,192.168.1.94,142.250.75.110,TLSv1.3,2866,,64,0x2,0x00,2852
679,18.95661141,192.168.1.94,142.250.75.110,TLSv1.3,254,Continuation Data,64,0x2,0x00,240
680,18.95712321,192.168.1.94,142.250.75.110,TLSv1.3,2663,Application Data,64,0x2,0x00,2649
681,18.96280042,192.168.1.94,142.250.75.110,TLSv1.3,616,Application Data,64,0x2,0x00,602
682,18.96329111,192.168.1.94,142.250.75.110,TLSv1.3,737,Application Data,64,0x2,0x00,723
683,18.96422476,142.250.75.110,192.168.1.94,TCP,66,443  >  60366 [ACK] Seq=328661 Ack=117289 Win=208384 Len=0 TSval=2478410730 TSecr=1158799069,121,0x0,0x00,52
684,18.96422493,142.250.75.110,192.168.1.94,TCP,66,443  >  60366 [ACK] Seq=328661 Ack=118689 Win=208384 Len=0 TSval=2478410730 TSecr=1158799069,121,0x0,0x00,52
685,18.96422496,142.250.75.110,192.168.1.94,TCP,66,443  >  60366 [ACK] Seq=328661 Ack=118877 Win=208384 Len=0 TSval=2478410730 TSecr=1158799069,121,0x0,0x00,52
686,18.96422498,142.250.75.110,192.168.1.94,TCP,78,[TCP Dup ACK 685#1] 443  >  60366 [ACK] Seq=328661 Ack=118877 Win=208384 Len=0 TSval=2478410730 TSecr=1158799069 SLE=120277 SRE=121474,121,0x0,0x00,64
687,18.964225,142.250.75.110,192.168.1.94,TCP,66,443  >  60366 [ACK] Seq=328661 Ack=121474 Win=205824 Len=0 TSval=2478410730 TSecr=1158799070,121,0x0,0x00,52
688,18.97160803,142.250.75.110,192.168.1.94,TCP,66,443  >  60366 [ACK] Seq=328661 Ack=122024 Win=208384 Len=0 TSval=2478410737 TSecr=1158799075,121,0x0,0x00,52
689,18.97160839,142.250.75.110,192.168.1.94,TCP,66,443  >  60366 [ACK] Seq=328661 Ack=122695 Win=207872 Len=0 TSval=2478410737 TSecr=1158799076,121,0x0,0x00,52
690,19.03687618,142.250.75.110,192.168.1.94,TLSv1.3,140,Application Data,121,0x0,0x00,126
691,19.03687627,142.250.75.110,192.168.1.94,TLSv1.3,1466,Application Data,121,0x0,0x00,1452
692,19.03687638,142.250.75.110,192.168.1.94,TLSv1.3,513,Application Data,121,0x0,0x00,499
693,19.03687646,142.250.75.110,192.168.1.94,TLSv1.3,97,Application Data,121,0x0,0x00,83
694,19.03687654,142.250.75.110,192.168.1.94,TLSv1.3,105,Application Data,121,0x0,0x00,91
695,19.04904768,142.250.75.110,192.168.1.94,TLSv1.3,140,Application Data,121,0x0,0x00,126
696,19.04904802,142.250.75.110,192.168.1.94,TLSv1.3,97,Application Data,121,0x0,0x00,83
697,19.050352,192.168.1.94,142.250.75.110,TCP,66,60366  >  443 [ACK] Seq=122695 Ack=330757 Win=429824 Len=0 TSval=1158799163 TSecr=2478410794,64,0x2,0x00,52
698,19.05182607,192.168.1.94,142.250.75.110,TLSv1.3,105,Application Data,64,0x2,0x00,91
699,19.05829915,142.250.75.110,192.168.1.94,TCP,66,443  >  60366 [ACK] Seq=330757 Ack=122734 Win=209664 Len=0 TSval=2478410824 TSecr=1158799164,121,0x0,0x00,52
700,27.00649392,192.168.1.94,142.250.75.110,TLSv1.3,1034,Application Data,64,0x2,0x00,1020
701,27.00710486,192.168.1.94,142.250.75.110,TLSv1.3,323,Application Data,64,0x2,0x00,309
702,27.03006667,192.168.1.94,142.250.75.110,TCP,323,"[TCP Retransmission] 60366  >  443 [PSH, ACK] Seq=123702 Ack=330757 Win=431872 Len=257 TSval=1158807143 TSecr=2478410824",64,0x2,0x00,309
703,27.05584421,142.250.75.110,192.168.1.94,TCP,66,443  >  60366 [ACK] Seq=330757 Ack=123702 Win=208896 Len=0 TSval=2478418780 TSecr=1158807119,121,0x0,0x00,52
704,27.05584446,142.250.75.110,192.168.1.94,TCP,66,443  >  60366 [ACK] Seq=330757 Ack=123959 Win=208640 Len=0 TSval=2478418780 TSecr=1158807120,121,0x0,0x00,52
705,27.06397884,142.250.75.110,192.168.1.94,TCP,78,[TCP Dup ACK 704#1] 443  >  60366 [ACK] Seq=330757 Ack=123959 Win=209664 Len=0 TSval=2478418826 TSecr=1158807143 SLE=123702 SRE=123959,121,0x0,0x00,64
706,27.07609693,142.250.75.110,192.168.1.94,TLSv1.3,140,Application Data,121,0x0,0x00,126
707,27.07609726,142.250.75.110,192.168.1.94,TLSv1.3,97,Application Data,121,0x0,0x00,83
708,27.07609729,142.250.75.110,192.168.1.94,TLSv1.3,105,Application Data,121,0x0,0x00,91
709,27.07659436,192.168.1.94,142.250.75.110,TCP,66,60366  >  443 [ACK] Seq=123959 Ack=330901 Win=431872 Len=0 TSval=1158807189 TSecr=2478418842,64,0x2,0x00,52
710,27.0767218,192.168.1.94,142.250.75.110,TLSv1.3,105,Application Data,64,0x2,0x00,91
711,27.12319258,142.250.75.110,192.168.1.94,TCP,66,443  >  60366 [ACK] Seq=330901 Ack=123998 Win=209664 Len=0 TSval=2478418850 TSecr=1158807189,121,0x0,0x00,52
