No.,Time,Source,Destination,Protocol,Length,Info,TTL,Flags,DSCP,LEN
42,3.424452389,192.168.26.2,192.168.26.128,DNS,246,Standard query response 0xeb45 HTTPS pauth.ynet.co.il CNAME pauth-ynet.tinypass.com HTTPS,128,0x0,0x00,232
43,9.689712894,192.168.26.128,192.168.26.2,DNS,78,Standard query 0xffce AAAA vod-hls.ynethd.com,64,0x0,0x00,64
44,9.68987665,192.168.26.128,192.168.26.2,DNS,78,Standard query 0xd7c9 HTTPS vod-hls.ynethd.com,64,0x0,0x00,64
45,9.689927185,192.168.26.128,192.168.26.2,DNS,78,Standard query 0x2650 A vod-hls.ynethd.com,64,0x0,0x00,64
46,9.695800724,192.168.26.2,192.168.26.128,DNS,194,Standard query response 0xffce AAAA vod-hls.ynethd.com CNAME ynetvod.cdnwiz.net SOA ns-948.awsdns-54.net,128,0x0,0x00,180
47,9.695800987,192.168.26.2,192.168.26.128,DNS,194,Standard query response 0xd7c9 HTTPS vod-hls.ynethd.com CNAME ynetvod.cdnwiz.net SOA ns-948.awsdns-54.net,128,0x0,0x00,180
48,9.69580101,192.168.26.2,192.168.26.128,DNS,126,Standard query response 0x2650 A vod-hls.ynethd.com CNAME ynetvod.cdnwiz.net A 116.202.148.22,128,0x0,0x00,112
49,9.696109706,192.168.26.128,192.168.26.2,DNS,78,Standard query 0x35c8 AAAA ynetvod.cdnwiz.net,64,0x0,0x00,64
50,9.696438164,192.168.26.128,192.168.26.2,DNS,78,Standard query 0x27d1 HTTPS ynetvod.cdnwiz.net,64,0x0,0x00,64
51,9.702466611,192.168.26.2,192.168.26.128,DNS,162,Standard query response 0x27d1 HTTPS ynetvod.cdnwiz.net SOA ns-948.awsdns-54.net,128,0x0,0x00,148
52,9.702466868,192.168.26.2,192.168.26.128,DNS,162,Standard query response 0x35c8 AAAA ynetvod.cdnwiz.net SOA ns-948.awsdns-54.net,128,0x0,0x00,148
53,9.756691462,192.168.26.128,192.168.26.2,DNS,84,Standard query 0x34be HTTPS mediadownload.ynet.co.il,64,0x0,0x00,70
54,9.756865585,192.168.26.128,192.168.26.2,DNS,84,Standard query 0xfda3 A mediadownload.ynet.co.il,64,0x0,0x00,70
55,9.756948474,192.168.26.128,192.168.26.2,DNS,84,Standard query 0xe3dc AAAA mediadownload.ynet.co.il,64,0x0,0x00,70
56,9.823997628,192.168.26.2,192.168.26.128,DNS,187,Standard query response 0xfda3 A mediadownload.ynet.co.il CNAME mediadownload.ynet.co.il.edgekey.net CNAME e12476.b.akamaiedge.net A 212.55.190.45,128,0x0,0x00,173
57,9.826897545,192.168.26.2,192.168.26.128,DNS,246,Standard query response 0xe3dc AAAA mediadownload.ynet.co.il CNAME mediadownload.ynet.co.il.edgekey.net CNAME e12476.b.akamaiedge.net SOA n0b.akamaiedge.net,128,0x0,0x00,232
58,9.8268977,192.168.26.2,192.168.26.128,DNS,246,Standard query response 0x34be HTTPS mediadownload.ynet.co.il CNAME mediadownload.ynet.co.il.edgekey.net CNAME e12476.b.akamaiedge.net SOA n0b.akamaiedge.net,128,0x0,0x00,232
